fundo;data_referencia;net_worth;pv_credit_rights;pdd;total_cash;cash_idleness;net_allocation;threshold_net_allocation;status_net_allocation;subordination_senior;threshold_senior;status_senior;subordination_mezzanine_a;threshold_mezzanine_a;status_mezzanine_a;subordination_mezzanine_b;threshold_mezzanine_b;status_mezzanine_b;subordination_mezzanine_c;threshold_mezzanine_c;status_mezzanine_c;retorno_junior;threshold_junior_return;vl_dicred_aquis_mes;vl_som_prazo_venc;vl_som_inad_venc;CR_due_30;CR_due_31_60;CR_due_61_90;CR_due_91_120;CR_due_121_150;CR_due_151_180;CR_due_181_360;CR_due_maior_360;vl_inad_venc_30;vl_inad_venc_31_60;vl_inad_venc_61_90;vl_inad_venc_91_120;vl_inad_venc_121_150;vl_inad_venc_151_180;vl_inad_venc_181_360;vl_inad_venc_maior_360;cash;government_securities;sovereign_fund;other_assets;delinq_ratio_30;delinq_ratio_31_60;delinq_ratio_61_90;delinq_ratio_91_120;delinq_ratio_121_150;delinq_ratio_151_180;delinq_ratio_181_360;delinq_ratio_maior_360;subordination_mezzanine_d;subordination_mezzanine_e;subordination_mezzanine_f;subordination_mezzanine_g;subordination_mezzanine_h;total_cash;total_senior;total_subord_Junior;total_subord_Mezza_A;total_subord_Mezza_B;total_subord_Mezza_C;total_subord_Mezza_D;total_subord_Mezza_E;total_subord_Mezza_F;total_subord_Mezza_G;total_subord_Mezza_H
FIDC Alume;31/08/2024;80562976.34;83899842.07;4862918.93;2097015.26;0.026029516;0.973970484;0.67;OK;0.329115148;0.3;OK;0.329115148;;N/A;0.329115148;;N/A;0.329115148;;N/A;1.94;0;4641420.2;80822081.08;3077760.99;2783771.51;3035660.48;3060185.62;3029028.85;3173999.12;3213992.66;18973962.2;43551480.64;650658.26;369632.21;304772.16;270411.64;250367.23;243133.98;700143.09;288642.42;0;0;1949461.57;147553.69;0.007755179;0.004405637;0.003632571;0.003223029;0.00298412;0.002897907;0.008344987;0.003440321;0.329115148;0.329115148;0.329115148;0.329115148;0.329115148;2097015.26;54048480.42;26514495.92;0;0;0;0;0;0;0;0
FIDC Alume;30/09/2024;83955206;84682506.01;5402164.29;5261063.88;0.015487806;0.984512194;0.67;OK;0.3213;0.3;OK;0.079421795;;N/A;0.079421795;;N/A;0.079421795;;N/A;1.75;0;2735149.15;81341977.18;3340528.83;2910769.2;3094512.97;3101547.48;3241434.03;3289298.33;3528301.98;19144081.07;43032032.12;706921.45;373713.39;305938.17;272558.79;253012.54;237410.12;827349.08;363625.29;0;0;5069246.46;191817.42;0.008347904;0.004413112;0.003612767;0.003218596;0.002987778;0.002803532;0.009770012;0.004293984;0.079421795;0.079421795;0.079421795;0.079421795;0.079421795;5261063.88;312711867;26978846.36;0;0;0;0;0;0;0;0
FIDC Alume;31/10/2024;85617801.01;85298652.92;5445828.38;6466377.43;0.075526086;0.924473914;0.67;OK;0.3253539;0.3;OK;0.3253539;;N/A;0.3253539;;N/A;0.3253539;;N/A;3.25;0;2550207.35;81728718.94;3569933.98;2994890.98;3146879.99;3305402.2;3357113.07;3615192.21;3589881.45;19294087.31;42425271.73;754587.62;408057.95;311890.06;275276.56;250768;235927.74;915272.17;418153.88;0;0;6339300.23;127077.2;0.008846419;0.004783873;0.003656448;0.003227209;0.002939882;0.002765902;0.010730207;0.004902233;0.3253539;0.3253539;0.3253539;0.3253539;0.3253539;6466377.43;57761715.55;27856085.46;0;0;0;0;0;0;0;0
FIDC Alume;30/11/2024;82460923.82;85218741.06;5617724.51;3744662.77;0.045411361;0.954588639;0.67;OK;0.346240175;0.3;OK;0.346240175;;N/A;0.346240175;;N/A;0.346240175;;N/A;2.34;0;2413157.61;81440789.89;3777951.17;3013066.21;3351653.02;3408291.63;3674740.86;3659487.61;3563649.41;18629682.6;42140218.55;746143.88;430679.55;323028.06;271233.52;261729.12;237468;1018077.26;489591.78;0;0;3579054.61;165608.16;0.008755631;0.005053813;0.003790575;0.003182792;0.003071262;0.00278657;0.011946636;0.005745119;0.346240175;0.346240175;0.346240175;0.346240175;0.346240175;3744662.77;53909639.12;28551284.7;0;0;0;0;0;0;0;0
FIDC Alume;31/12/2024;88935635.57;87012949.98;5974297.86;9010550.2;0.101315408;0.898684592;0.67;OK;0.327818484;0.3;OK;0.327818484;;N/A;0.327818484;;N/A;0.327818484;;N/A;1.86;0;3802628.31;82941306.45;4071643.53;3176206.06;3465298.6;3734383.75;3732420.4;3643418.26;3540493.34;19657674.29;41991411.75;802215.17;451080.87;366082.61;297873.43;253859.94;250578.17;1095367.31;554586.03;142773.59;0;8832169.13;35607.48;0.009219492;0.005184066;0.00420722;0.003423323;0.002917496;0.00287978;0.012588555;0.006373603;0.327818484;0.327818484;0.327818484;0.327818484;0.327818484;9010550.2;59780890.34;29154745.23;0;0;0;0;0;0;0;0
FIDC Alume;31/01/2025;90469311.56;92169286.53;6363904.16;5924237.93;0.065483398;0.934516602;0.67;OK;0.329692919;0.3;OK;0.329692919;;N/A;0.329692919;;N/A;0.329692919;;N/A;2.31;0;7286434.33;87691428.1;4477858.43;3421043.7;3881073.69;3887809.38;3800610.62;3713593.6;3664671.06;20444316.28;44878309.77;964232.9;481997.75;379369.93;325800.88;269764.91;235165.42;1171199.36;650327.28;0;0;5808464.28;115773.65;0.010461542;0.005229483;0.004116012;0.00353481;0.002926842;0.002551451;0.012707046;0.007055792;0.329692919;0.329692919;0.329692919;0.329692919;0.329692919;5924237.93;60642220.19;29827091.37;0;0;0;0;0;0;0;0
FIDC Alume;28/02/2025;88329304.12;93621461.16;6706126.54;2144223.58;0.024275336;0.975724664;0.67;OK;0.344721174;0.3;OK;0.344721174;;N/A;0.344721174;;N/A;0.344721174;;N/A;2.08;0;4364687.43;88769889.82;4851571.34;3682825.66;3940139.04;3882511.5;3791863.78;3762347.51;3762385.12;19944015.63;46003801.58;990020.2;582144.98;406950.13;330476.14;303729.39;254171.03;1226792.68;757286.79;0;0;1984299.88;159923.7;0.010574714;0.006218072;0.004346761;0.003529919;0.003244228;0.00271488;0.013103755;0.008088816;0.344721174;0.344721174;0.344721174;0.344721174;0.344721174;2144223.58;57880322.7;30448981.42;0;0;0;0;0;0;0;0
FIDC Alume;31/03/2025;89323895.54;93689704.31;7423103.59;3319784.17;0.03716569;0.96283431;0.67;OK;0.34338254;0.3;OK;0.34338254;;N/A;0.34338254;;N/A;0.34338254;;N/A;0.73;0;3681526.65;88358249.17;5331455.14;3724858.75;3956480.67;3862178.81;3838371.35;3847231.08;3927349.67;20966717.48;44235061.36;1090212.43;609981.77;467282.67;362400.71;319624.22;296384.76;1292774.63;892793.95;0;0;3164501.08;155283.09;0.011636417;0.00651066;0.004987556;0.003868095;0.003411519;0.003163472;0.013798471;0.009529264;0.34338254;0.34338254;0.34338254;0.34338254;0.34338254;3319784.17;58651629.41;30672266.13;0;0;0;0;0;0;0;0
FIDC Alume;30/04/2025;90427999.05;93934432.8;8193856.63;4907408.67;0.054268686;0.945731314;0.67;OK;0.342008275;0.3;OK;0.342008275;;N/A;0.342008275;;N/A;0.342008275;;N/A;0.83;0;2987823.92;88130264.68;5804168.12;3759341.81;3944494.83;3930798.39;3943653.45;4029800.01;3951126.62;21235297.39;43335752.18;1154523.5;691225.01;497372.62;424942.51;331083.51;296274.88;1349303.3;1059442.79;0;0;4775486.41;131922.26;0.012290738;0.00735859;0.005294891;0.00452382;0.003524624;0.00315406;0.01436431;0.011278535;0.342008275;0.342008275;0.342008275;0.342008275;0.342008275;4907408.67;59500875.06;30927123.99;0;0;0;0;0;0;0;0
FIDC Alume;31/05/2025;88532834.96;93820279.56;8479017.72;3472158.45;0.039218878;0.960781122;0.67;OK;0.357377849;0.3;OK;0.357377849;;N/A;0.357377849;;N/A;0.357377849;;N/A;2.3;0;4221848.89;88014864.86;5805414.7;3741257.09;3966753.14;3993159.23;4089763.63;4021292.68;3870288.42;21448272.65;42884078.02;1078926.55;610775.02;491340.89;399093.86;364498.67;299240.04;1364335.98;1197203.69;0;0;3354237.31;117921.14;0.011499929;0.006510053;0.005237044;0.004253812;0.003885073;0.003189503;0.014542016;0.012760607;0.357377849;0.357377849;0.357377849;0.357377849;0.357377849;3472158.45;56893160.82;31639674.14;0;0;0;0;0;0;0;0
FIDC Alume;30/06/2025;92026612.95;95418060.14;8970751.26;5892181.02;0.064026925;0.935973075;0.67;OK;0.34975502;0.3;OK;0.34975502;;N/A;0.34975502;;N/A;0.34975502;;N/A;1.73;0;5171911.36;89351370.31;6066689.83;3841803.1;4103354.21;4229227.8;4160105.68;4002202.34;3861724.57;21928722.94;43224229.67;1065051.82;617909.59;467416.19;430540.95;370910.54;337465.07;1429777;1347618.67;0;0;5716988.75;175192.27;0.011161952;0.006475814;0.004898613;0.004512154;0.003887215;0.0035367;0.014984344;0.014123308;0.34975502;0.34975502;0.34975502;0.34975502;0.34975502;5892181.02;59839843.1;32186769.85;0;0;0;0;0;0;0;0
FIDC Alume;31/07/2025;94080020.04;99570364.74;9148619.47;4259522.19;0.045275524;0.954724476;0.67;OK;0.352958125;0.3;OK;0.352958125;;N/A;0.352958125;;N/A;0.352958125;;N/A;3.17;0;7453474.39;93267424.71;6302940.03;3982194.11;4380271.41;4332628.29;4181748.81;4041515.38;3965994.72;22632558.85;45750513.14;1066659.86;623437.95;492472.06;409753.07;396974.66;331366.67;1476252.96;1506022.8;0;0;4062976.67;196545.52;0.010712624;0.00626128;0.00494597;0.004115211;0.003986876;0.003327965;0.014826228;0.015125211;0.352958125;0.352958125;0.352958125;0.352958125;0.352958125;4259522.19;60873712.59;33206307.45;0;0;0;0;0;0;0;0
FIDC Capim;31/08/2024;70392247.93;68808945.33;5537824.84;7206774.17;0.102380225;0.897619775;0.67;OK;0.408191117;0.4;OK;0.257545074;0.25;OK;0.157311319;0.15;OK;0.157311319;;N/A;3.55;0;8508506.09;64675586.62;4133358.71;6593591.89;6467962.98;5983998.98;5476261.74;4957578.51;4466781.09;18169700.16;12559711.27;1006034.79;591419.98;472942.12;407633.58;347268.31;302036.81;934136.69;71886.43;1286.53;744965.65;6208049.04;252472.95;0.014620698;0.008595103;0.006873265;0.005924136;0.005046848;0.004389499;0.013575803;0.001044725;0.157311319;0.157311319;0.157311319;0.157311319;0.157311319;7206774.17;41658757.64;11073497.34;10604313.56;7055679.391;0;0;0;0;0;0
FIDC Capim;30/09/2024;70583150.33;71811804.69;6279509.97;5129902.16;0.072678849;0.927321151;0.67;OK;0.410450013;0.4;OK;0.26028113;0.25;OK;0.160222873;0.15;OK;0.160222873;;N/A;2.13;0;8302332.71;67141066.6;4670738.09;6988681.78;6743377.45;6247825.59;5698310.23;5169915.62;4679847.66;18706863.77;12906244.5;1052560.27;642468.31;514100.38;442905.92;390276.25;338794.86;1131318.06;158314.04;1805.35;751630.57;4079652.27;296813.97;0.014657204;0.008946556;0.007158995;0.006167592;0.005434709;0.004717816;0.015753929;0.002204568;0.160222873;0.160222873;0.160222873;0.160222873;0.160222873;5129902.16;41612295.38;11309035.13;10599392.83;7062426.992;0;0;0;0;0;0
FIDC Capim;31/10/2024;77101268.88;75806244.22;7072223.36;8506475.59;0.110328607;0.889671393;0.67;OK;0.405527191;0.4;OK;0.254141488;0.25;OK;0.153106699;0.15;OK;0.153106699;;N/A;1.26;0;9766230.39;70523258.46;5282985.76;7286582.12;7137966.21;6535291.43;6043042.57;5468427.83;4893103.84;19565133.91;13593710.55;1133170.24;680609.86;563105.97;485410.87;429412.38;382333.52;1347977.65;260965.27;1236.58;758952.89;7318052.83;428233.29;0.014948244;0.008978282;0.007428227;0.00640331;0.005664604;0.005043562;0.017781881;0.00344253;0.153106699;0.153106699;0.153106699;0.153106699;0.153106699;8506475.59;45834607.88;11804720.74;11672029.81;7789910.448;0;0;0;0;0;0
FIDC Capim;30/11/2024;79336793.4;78336542.02;7904432.08;8993656.28;0.113360471;0.886639529;0.67;OK;0.404837797;0.4;OK;0.253259569;0.25;OK;0.151927338;0.15;OK;0.151927338;;N/A;0.18;0;8285235.73;72319227.23;6017314.79;7569919.58;7337553.78;6757872.15;6209299.75;5607698.98;5026795.04;19855435.62;13954652.33;1277051.52;745918.29;595419.02;531053.22;471449.69;421994.35;1621085.03;353343.67;1661.61;765379.33;8027512.27;199103.07;0.016302118;0.009521971;0.007600783;0.006779125;0.00601826;0.005386941;0.020693855;0.004510585;0.151927338;0.151927338;0.151927338;0.151927338;0.151927338;8993656.28;47218260.76;12053427.82;12025730.55;8039374.265;0;0;0;0;0;0
