Date;Credit_Portfolio_Total;Credit_Portfolio_Corporate;Credit_Portfolio_Retail;Delinquency_15-90d_Total_%;Delinquency_15-90d_Corporate_%;Delinquency_15-90d_Retail_%;Interest_Rate_NonEarmarked_Corporate_%am;Interest_Rate_NonEarmarked_Retail_%am;Default_Rate_Personal_NonPayroll_%;Default_Rate_Personal_Payroll_Private_%;Default_Rate_Revolving_Credit_Card_%;Default_Rate__Corporate_SMBs_%;Default_Rate_Corporate_Large_%;Unemployment_Rate_PNADC_%;Inflation_IPC-Br_%;Net_Debt_FedGov_CenBank_%GDP;Net_Debt_Consolidated_%GDP;Primary_Result_YTD_ex-FX
01/01/2017;3.09E+12;1.51E+12;1.57E+12;5.11;3.88;6.3;2.12;4.61;8.57;4.84;36.06;6.27;1.26;12.7;0.69;33.85;46.46;-36712040000
01/02/2017;3.08E+12;1.51E+12;1.58E+12;4.65;3.16;6.07;2.12;4.62;8.25;4.71;33.22;6.41;1.21;13.3;0.31;34.7;47.26;-13244290000
01/03/2017;3.09E+12;1.51E+12;1.58E+12;5.01;3.52;6.42;2.03;4.58;8.3;4.77;34.48;6.36;1.66;13.9;0.47;35.07;47.53;-2197330000
01/04/2017;3.08E+12;1.50E+12;1.59E+12;4.6;2.53;6.55;1.97;4.34;8.11;4.57;34.41;6.55;1.74;13.7;0.12;35;47.48;-15105520000
01/05/2017;3.08E+12;1.48E+12;1.60E+12;4.95;3.31;6.48;1.94;4.11;8.12;4.59;38.02;6.67;1.96;13.4;0.52;35.53;48.01;15630910000
01/06/2017;3.09E+12;1.49E+12;1.60E+12;4.31;2.21;6.26;1.87;4.11;7.72;4.42;38.62;6.11;1.83;13.1;-0.32;35.92;48.44;35183290000
01/07/2017;3.07E+12;1.46E+12;1.61E+12;4.46;2.36;6.36;1.9;4.19;7.69;4.36;39.42;6.79;1.38;12.9;0.38;37.27;49.69;51321140000
01/08/2017;3.06E+12;1.44E+12;1.62E+12;4.45;2.44;6.23;1.84;4.12;8.02;4.3;38.97;6.78;1.45;12.7;0.13;37.7;50.1;60850170000
01/09/2017;3.06E+12;1.44E+12;1.62E+12;4.7;3.04;6.16;1.75;3.92;7.86;4.23;38.22;6.49;1.4;12.5;-0.02;38.32;50.76;82109620000
01/10/2017;3.07E+12;1.43E+12;1.64E+12;4.96;3.24;6.47;1.76;3.93;7.96;4.18;37.32;6.48;1.55;12.3;0.33;38.01;50.54;77352040000
01/11/2017;3.08E+12;1.43E+12;1.65E+12;4.62;2.41;6.53;1.74;3.88;7.87;4.25;36.18;6.25;1.55;12.1;0.36;38.32;50.86;78261220000
01/12/2017;3.11E+12;1.45E+12;1.66E+12;4.38;2.19;6.29;1.64;3.69;7.51;4.15;37.25;5.95;1.17;11.9;0.21;38.48;51.37;1.11E+11
01/01/2018;3.08E+12;1.41E+12;1.67E+12;4.68;2.75;6.31;1.7;3.72;7.64;4.46;35.77;6.18;1.38;12.3;0.69;38.8;51.43;-46940140000
01/02/2018;3.07E+12;1.41E+12;1.67E+12;4.39;2.18;6.25;1.68;3.83;7.43;4.31;33.24;6.22;1.41;12.7;0.17;38.88;51.58;-29526600000
01/03/2018;3.09E+12;1.42E+12;1.68E+12;4.58;2.22;6.57;1.61;3.81;7.4;4.32;34.2;5.61;1.39;13.2;0.17;39.07;51.83;-4391320000
01/04/2018;3.10E+12;1.41E+12;1.69E+12;4.5;1.95;6.63;1.59;3.79;7.5;4.21;33.74;5.88;1.4;13;0.34;38.33;51.22;-7291230000
01/05/2018;3.12E+12;1.42E+12;1.70E+12;4.74;2.58;6.54;1.57;3.61;7.36;4.27;34.87;5.8;1.48;12.8;0.41;37.61;50.67;932820000
